,RATING
1069,3.8
1070,4.4
1071,4.0
1072,3.4
1073,3.8
1074,4.0
1075,4.0
1076,3.4
1077,4.2
1078,3.6
1079,3.0
1080,3.8
1081,4.0
1082,3.8
1083,4.0
1084,4.0
1085,4.6
1086,4.0
1087,2.4
1088,4.0
1089,3.6
1090,4.2
1091,4.0
1092,3.2
1093,3.4
1094,4.2
1095,3.8
1096,4.2
1097,4.0
1098,3.6
1099,3.6
1100,3.8
1101,4.0
1102,4.0
1103,3.8
1104,4.2
1105,3.6
1106,4.2
1107,4.0
1108,4.2
1109,4.0
1110,3.6
1111,4.2
1112,4.0
1113,4.0
1114,3.0
1115,3.8
1116,4.4
1117,4.2
1118,4.0
1119,2.8
1120,3.8
1121,2.8
1122,3.6
1123,4.0
1124,4.0
1125,4.0
1126,4.0
1127,4.0
1128,4.2
1129,3.8
1130,4.4
1131,4.0
1132,3.4
1133,3.8
1134,4.0
1135,4.0
1136,3.4
1137,4.2
1138,3.6
1139,3.0
1140,3.8
1141,4.0
1142,3.8
1143,4.0
1144,4.0
1145,4.6
1146,4.0
1147,2.4
1148,4.0
1149,3.6
1150,4.2
1151,4.0
1152,3.2
1153,3.4
1154,4.2
1155,3.8
1156,4.2
1157,4.0
1158,3.6
1159,3.6
1160,3.8
1161,4.0
1162,4.0
1163,3.8
1164,4.2
1165,3.6
1166,4.2
1167,4.0
1168,4.2
1169,4.0
1170,3.6
1171,4.2
1172,4.0
1173,4.0
1174,3.0
1175,3.8
1176,4.4
1177,4.2
1178,4.0
1179,2.8
1180,3.8
1181,2.8
1182,3.6
1183,4.0
1184,4.0
1185,4.0
1186,4.0
1187,4.0
1188,4.2
1189,3.8
1190,4.4
1191,4.0
1192,3.4
1193,3.8
1194,4.0
1195,4.0
1196,3.4
1197,4.2
1198,3.6
1199,3.0
1200,3.8
1201,4.0
1202,3.8
1203,4.0
1204,4.0
1205,4.6
1206,4.0
1207,2.4
1208,4.0
1209,3.6
1210,4.2
1211,4.0
1212,3.2
1213,3.4
1214,4.2
1215,3.8
1216,4.2
1217,4.0
1218,3.6
1219,3.6
1220,3.8
1221,4.0
1222,4.0
1223,3.8
1224,4.2
1225,3.6
1226,4.2
1227,4.0
1228,4.2
1229,4.0
1230,3.6
1231,4.2
1232,4.0
1233,4.0
1234,3.0
1235,3.8
1236,4.4
1237,4.2
1238,4.0
1239,2.8
1240,3.8
1241,2.8
1242,3.6
1243,4.0
1244,4.0
1245,4.0
1246,4.0
1247,4.0
1248,4.2
1249,3.8
1250,4.4
1251,4.0
1252,3.4
1253,3.8
1254,4.0
1255,4.0
1256,3.4
1257,4.2
1258,3.6
1259,3.0
1260,3.8
1261,4.0
1262,3.8
1263,4.0
1264,4.0
1265,4.6
1266,4.0
1267,2.4
1268,4.0
1269,3.6
1270,4.2
1271,4.0
1272,3.2
1273,3.4
1274,4.2
1275,3.8
1276,4.2
1277,4.0
1278,3.6
1279,3.6
1280,3.8
1281,4.0
1282,4.0
1283,3.8
1284,4.2
1285,3.6
1286,4.2
1287,4.0
1288,4.2
1289,4.0
1290,3.6
1291,4.2
1292,4.0
1293,4.0
1294,3.0
1295,3.8
1296,4.4
1297,4.2
1298,4.0
1299,2.8
1300,3.8
1301,2.8
1302,3.6
1303,4.0
1304,4.0
1305,4.0
1306,4.0
1307,4.0
1308,4.2
1309,3.8
1310,4.4
1311,4.0
1312,3.4
1313,3.8
1314,4.0
1315,4.0
1316,3.4
1317,4.2
1318,3.6
1319,3.0
1320,3.8
1321,4.0
1322,3.8
1323,4.0
1324,4.0
1325,4.6
1326,4.0
1327,2.4
1328,4.0
1329,3.6
1330,4.2
1331,4.0
1332,3.2
1333,3.4
1334,4.2
1335,3.8
1336,4.2
1337,4.0
1338,3.6
1339,3.6
1340,3.8
1341,4.0
1342,4.0
1343,3.8
1344,4.2
1345,3.6
1346,4.2
1347,4.0
1348,4.2
1349,4.0
1350,3.6
1351,4.2
1352,4.0
1353,4.0
1354,3.0
1355,3.8
1356,4.4
1357,4.2
1358,4.0
1359,2.8
1360,3.8
1361,2.8
1362,3.6
1363,4.0
1364,4.0
1365,4.0
1366,4.0
1367,4.0
1368,4.2
1369,3.8
1370,4.4
1371,4.0
1372,3.4
1373,3.8
1374,4.0
1375,4.0
1376,3.4
1377,4.2
1378,3.6
1379,3.0
1380,3.8
1381,4.0
1382,3.8
1383,4.0
1384,4.0
1385,4.6
